#SampleID	BarcodeSequence	Description	LinkerPrimerSequence	cultivar_type	cultivar_color	processing_type	network_group	order
FWA3	Not applicable	Plant Tissue Metabolome	Not applicable	Atlantic	White	French Fries	group1	5
FWB1	Not applicable	Plant Tissue Metabolome	Not applicable	Russet Burbank	White	French Fries	group1	5
FWB2	Not applicable	Plant Tissue Metabolome	Not applicable	Russet Burbank	White	French Fries	group1	5
FWB3	Not applicable	Plant Tissue Metabolome	Not applicable	Russet Burbank	White	French Fries	group1	5
FRM1	Not applicable	Plant Tissue Metabolome	Not applicable	Mountain Rose	Red	French Fries	group2	5
FRM2	Not applicable	Plant Tissue Metabolome	Not applicable	Mountain Rose	Red	French Fries	group2	5
FRM3	Not applicable	Plant Tissue Metabolome	Not applicable	Mountain Rose	Red	French Fries	group2	5
FRR1	Not applicable	Plant Tissue Metabolome	Not applicable	All Red	Red	French Fries	group2	5
FRR2	Not applicable	Plant Tissue Metabolome	Not applicable	All Red	Red	French Fries	group2	5
FRR3	Not applicable	Plant Tissue Metabolome	Not applicable	All Red	Red	French Fries	group2	5
FPP1	Not applicable	Plant Tissue Metabolome	Not applicable	Purple Majesty	Purple	French Fries	group3	5
FPP2	Not applicable	Plant Tissue Metabolome	Not applicable	Purple Majesty	Purple	French Fries	group3	5
FPP3	Not applicable	Plant Tissue Metabolome	Not applicable	Purple Majesty	Purple	French Fries	group3	5
FPB1	Not applicable	Plant Tissue Metabolome	Not applicable	All Blue	Purple	French Fries	group3	5
FPB2	Not applicable	Plant Tissue Metabolome	Not applicable	All Blue	Purple	French Fries	group3	5
FPB3	Not applicable	Plant Tissue Metabolome	Not applicable	All Blue	Purple	French Fries	group3	5
CWA1	Not applicable	Plant Tissue Metabolome	Not applicable	Atlantic	White	Chips	group1	6
CWA2	Not applicable	Plant Tissue Metabolome	Not applicable	Atlantic	White	Chips	group1	6
CWA3	Not applicable	Plant Tissue Metabolome	Not applicable	Atlantic	White	Chips	group1	6
CWB1	Not applicable	Plant Tissue Metabolome	Not applicable	Russet Burbank	White	Chips	group1	6
CWB2	Not applicable	Plant Tissue Metabolome	Not applicable	Russet Burbank	White	Chips	group1	6
CWB3	Not applicable	Plant Tissue Metabolome	Not applicable	Russet Burbank	White	Chips	group1	6
CRM1	Not applicable	Plant Tissue Metabolome	Not applicable	Mountain Rose	Red	Chips	group2	6
CRM2	Not applicable	Plant Tissue Metabolome	Not applicable	Mountain Rose	Red	Chips	group2	6
CRM3	Not applicable	Plant Tissue Metabolome	Not applicable	Mountain Rose	Red	Chips	group2	6
CRR1	Not applicable	Plant Tissue Metabolome	Not applicable	All Red	Red	Chips	group2	6
CRR2	Not applicable	Plant Tissue Metabolome	Not applicable	All Red	Red	Chips	group2	6
CRR3	Not applicable	Plant Tissue Metabolome	Not applicable	All Red	Red	Chips	group2	6
CPP1	Not applicable	Plant Tissue Metabolome	Not applicable	Purple Majesty	Purple	Chips	group3	6
CPP2	Not applicable	Plant Tissue Metabolome	Not applicable	Purple Majesty	Purple	Chips	group3	6
CPP3	Not applicable	Plant Tissue Metabolome	Not applicable	Purple Majesty	Purple	Chips	group3	6
CPB1	Not applicable	Plant Tissue Metabolome	Not applicable	All Blue	Purple	Chips	group3	6
CPB2	Not applicable	Plant Tissue Metabolome	Not applicable	All Blue	Purple	Chips	group3	6
CPB3	Not applicable	Plant Tissue Metabolome	Not applicable	All Blue	Purple	Chips	group3	6
